,x,y,feature_name
0,11029.375,11272.06227022059,CD82
1,11033.22265625,11290.884650735294,MPO
2,11035.08731617647,11282.82284007353,MPO
3,11040.213694852942,11206.565946691177,SELL
4,11041.74862132353,11218.430606617647,NFATC2
5,11046.229319852942,11320.110294117647,LTF
6,11065.622702205883,11415.696231617647,GATA1
7,11066.194852941177,11500.7421875,MPO
8,11066.932444852942,11290.939797794119,LTF
9,11102.4609375,11213.768382352942,LTF
10,11114.246323529413,11475.502068014706,LTF
11,11141.286764705883,11435.580193014706,MPO
12,11143.863740808823,11475.353860294119,MPO
13,11170.099954044117,11454.685202205883,SELL
14,11174.117647058823,11557.660845588236,CD82
15,11196.704963235294,11452.926240808823,MPO
16,11238.978630514706,11521.80606617647,MMRN2
17,11034.62890625,11307.92164522059,LYZ
18,11034.48299632353,11151.29021139706,LYZ
19,11035.9765625,11271.13396139706,LYZ
20,11037.62637867647,11518.254825367647,ENG
21,11037.53102022059,11316.45450367647,LYZ
22,11040.766314338236,11318.014705882353,LYZ
23,11041.596966911766,11288.042279411766,LYZ
24,11041.29825367647,11309.68864889706,LYZ
25,11042.427619485294,11531.079963235294,ADGRL4
26,11042.68727022059,11291.880744485294,LYZ
27,11043.845358455883,11298.79825367647,LYZ
28,11044.533547794117,11292.17830882353,LYZ
29,11048.32146139706,11217.701056985294,ATM
30,11048.556985294117,11329.321001838236,LYZ
31,11051.001838235294,11323.68221507353,LYZ
32,11052.591911764706,11310.491727941177,LYZ
33,11058.578814338236,11299.009650735294,LYZ
34,11058.60409007353,11333.97633272059,LYZ
35,11060.466452205883,11248.40992647059,LYZ
36,11061.69921875,11328.738511029413,LYZ
37,11067.019761029413,11512.10018382353,LYZ
38,11079.76677389706,11318.338694852942,MS4A1
39,11115.64568014706,11460.639935661766,LYZ
40,11124.253216911766,11469.947150735294,LYZ
41,11125.32169117647,11409.793198529413,LYZ
42,11126.89568014706,11473.822380514706,LYZ
43,11128.929227941177,11562.458639705883,LYZ
44,11130.037913602942,11454.977022058823,LYZ
45,11130.425091911766,11441.920955882353,MZB1
46,11134.321001838236,11447.508042279413,LYZ
47,11136.271829044117,11440.94669117647,LYZ
48,11137.52987132353,11458.676470588236,LYZ
49,11138.308823529413,11446.213235294119,LYZ
50,11138.984375,11464.504825367647,LYZ
51,11140.39177389706,11462.518382352942,LYZ
52,11140.229779411766,11442.348345588236,VCAN
53,11141.479779411766,11467.018612132353,LYZ
54,11144.983915441177,11461.927849264706,LYZ
55,11147.173713235294,11479.148667279413,LYZ
56,11149.20840992647,11462.801011029413,LYZ
57,11151.800321691177,11473.775275735294,LYZ
58,11153.07789522059,11429.613970588236,IL3RA
59,11156.013327205883,11473.089384191177,LYZ
60,11157.242647058823,11450.407858455883,LYZ
61,11158.708639705883,11453.229549632353,LYZ
62,11169.701286764706,11437.133501838236,LYZ
63,11173.62477022059,11464.788602941177,LYZ
64,11173.792509191177,11455.016084558823,LYZ
65,11173.70289522059,11467.849264705883,LYZ
66,11178.177849264706,11458.596047794119,LYZ
67,11186.310891544117,11465.34352022059,VCAN
68,11189.77711397059,11447.116268382353,VCAN
69,11191.322380514706,11466.35799632353,VCAN
70,11193.978630514706,11457.498851102942,LYZ
71,11195.065487132353,11444.8046875,VCAN
72,11196.931295955883,11457.351792279413,LYZ
73,11257.37477022059,11615.103400735294,ADGRL4
74,11028.440946691177,11284.82421875,ELANE
75,11029.633501838236,11286.833639705883,ELANE
76,11031.22242647059,11291.81755514706,ELANE
77,11035.49977022059,11288.07559742647,ELANE
78,11043.840762867647,11293.05606617647,ELANE
79,11124.164751838236,11471.233915441177,MS4A6A
80,11126.675091911766,11458.345588235294,MS4A6A
81,11128.58455882353,11138.01815257353,ITGAM
82,11134.704733455883,11423.577665441177,ITGAM
83,11142.010569852942,11433.666130514706,ELANE
84,11190.854779411766,11458.93497242647,MS4A6A
85,11039.803538602942,11240.327435661766,CXCR4
86,11047.06112132353,11521.854319852942,ERG
87,11053.54434742647,11524.63005514706,EGFL7
88,11053.91544117647,11543.863740808823,FABP4
89,11055.384880514706,11191.57398897059,AHSP
90,11058.53630514706,11540.373391544119,FABP4
91,11082.284007352942,11328.782169117647,CXCL12
92,11096.366038602942,11432.595358455883,SLC4A1
93,11096.804917279413,11419.407169117647,FABP4
94,11101.799172794117,11433.454733455883,PCNA
95,11102.5390625,11516.850873161766,FABP4
96,11102.79296875,11455.80997242647,SLC4A1
97,11105.621553308823,11439.573759191177,BAP1
98,11112.973345588236,11435.142463235294,SLC4A1
99,11113.122702205883,11450.832950367647,SLC4A1
100,11118.416819852942,11463.029641544119,SLC4A1
101,11121.58203125,11439.519761029413,SLC4A1
102,11126.957720588236,11435.193014705883,SLC4A1
103,11144.43359375,11485.26424632353,SLC4A1
104,11147.395450367647,11561.556755514706,CXCL12
105,11152.814797794117,11418.752297794119,PCNA
106,11154.607077205883,11456.578584558823,BAP1
107,11156.551011029413,11444.703584558823,LGALS1
108,11178.181295955883,11553.755744485294,TIGIT
109,11177.380514705883,11089.689797794117,SLC4A1
110,11181.32927389706,11095.503216911766,AHSP
111,11182.44255514706,11090.47794117647,SLC4A1
112,11202.888327205883,11560.209099264706,SLC4A1
113,11325.34237132353,11572.718290441177,SLC4A1
114,11026.04434742647,11280.1171875,SPI1
115,11057.435661764706,11536.82789522059,GNG11
116,11057.47242647059,11294.11075367647,RAPGEF3
117,11061.490119485294,11333.67302389706,CAPN8
118,11095.904181985294,11474.973575367647,KLRC1
119,11122.502297794117,11450.056295955883,HEMGN
120,11128.367417279413,11456.49586397059,TOP2A
121,11135.003446691177,11475.80078125,CDK1
122,11136.23161764706,11438.79021139706,TOP2A
123,11141.323529411766,11455.405560661766,ITGAM
124,11142.496553308823,11447.91130514706,CEBPA
125,11144.711626838236,11484.71737132353,CEBPA
126,11186.06617647059,11447.127757352942,ITGAM
127,11195.75367647059,11467.88143382353,CEBPA
128,11034.81387867647,11516.706112132353,SF1
129,11035.40211397059,11256.79802389706,S100A12
130,11039.801240808823,11302.752757352942,SF1
131,11044.418658088236,11524.204963235294,SF1
132,11044.48414522059,11519.998851102942,VWF
133,11048.802849264706,11259.826516544119,S100A12
134,11052.301240808823,11200.2734375,CYTIP
135,11054.97127757353,11542.474724264706,VWF
136,11075.09880514706,11501.013327205883,S100A12
137,11080.232077205883,11484.34742647059,CSF3
138,11084.217601102942,11466.537224264706,ANGPT1
139,11086.159237132353,11317.435661764706,HEPACAM2
140,11122.416130514706,11416.353400735294,S100A12
141,11129.78630514706,11415.768612132353,MS4A3
142,11133.308823529413,11417.884880514706,SELL
143,11135.075827205883,11409.827665441177,SELL
144,11135.496323529413,11545.945542279413,CD86
145,11136.463694852942,11416.30055147059,MS4A3
146,11151.402803308823,11428.664981617647,S100A12
147,11156.32927389706,11436.038602941177,S100A12
148,11171.987591911766,11447.612591911766,S100A12
149,11188.102022058823,11453.715533088236,S100A12
150,11200.374540441177,11443.48805147059,S100A12
151,11036.715303308823,11517.691865808823,TCF4
152,11097.097886029413,11504.070542279413,CD34
153,11104.7265625,11496.004136029413,CD34
154,11138.96484375,11446.871553308823,ANPEP
155,11029.446231617647,11224.260110294117,CXCL9
156,11038.684512867647,11282.19898897059,CD38
157,11041.561351102942,11251.67049632353,CBL
158,11043.237591911766,11211.079963235294,PTPRC
159,11093.571920955883,11434.07284007353,ALAS2
160,11095.240119485294,11444.261259191177,ALAS2
161,11096.546415441177,11448.806295955883,ALAS2
162,11101.302849264706,11447.858455882353,CD164
